"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Retail services price index, monthly","18100251","332-0024","https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810025101",1;2;3;4,"CURRENT - a cube available to the public and that is current","Monthly","2008-01-01","2023-12-01","2",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","North American Industry Classification System (NAICS)",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Canada","[11124]","1","","",,
"2","General merchandise stores","[452]","75","1","",,
"2","Miscellaneous store retailers","[453]","81","1","",,
"2","Motor vehicle and parts dealers","[441]","2","1","",,
"2","Furniture and home furnishings stores","[442]","12","1","",,
"2","Electronics and appliance stores","[443]","18","1","",,
"2","Building material and garden equipment and supplies dealers","[444]","23","1","",,
"2","Food and beverage stores","[445]","32","1","",,
"2","Health and personal care stores","[446]","43","1","",,
"2","Gasoline stations","[447]","49","1","",,
"2","Clothing and clothing accessories stores","[448]","53","1","",,
"2","Sporting goods, hobby, book and music stores","[451]","66","1","",,
"2","Automotive parts, accessories and tire stores","[4413]","9","2","",,
"2","Automobile dealers","[4411]","94","2","",,
"2","Other motor vehicle dealers","[4412]","96","2","",,
"2","Automotive parts and accessories stores","[44131]","10","9","",,
"2","Tire dealers","[44132]","11","9","",,
"2","Furniture stores","[4421]","13","12","",,
"2","Home furnishings stores","[4422]","15","12","",,
"2","Furniture stores","[44211]","14","13","",,
"2","Floor covering stores","[44221]","16","15","",,
"2","Other home furnishings stores","[44229]","17","15","",,
"2","Electronics and appliance stores","[4431]","19","18","",,
"2","Electronics and appliance stores","[44314]","20","19","",,
"2","Building material and supplies dealers","[4441]","24","23","",,
"2","Lawn and garden equipment and supplies stores","[4442]","29","23","",,
"2","Home centres","[44411]","25","24","",,
"2","Paint and wallpaper stores","[44412]","26","24","",,
"2","Hardware stores","[44413]","27","24","",,
"2","Other building material dealers","[44419]","28","24","",,
"2","Outdoor power equipment stores","[44421]","30","29","",,
"2","Nursery stores and garden centres","[44422]","31","29","",,
"2","Grocery stores","[4451]","33","32","",,
"2","Specialty food stores","[4452]","36","32","",,
"2","Beer, wine and liquor stores","[4453]","41","32","",,
"2","Supermarkets and other grocery (except convenience) stores","[44511]","34","33","",,
"2","Convenience stores","[44512]","35","33","",,
"2","Meat markets","[44521]","37","36","",,
"2","Fish and seafood markets","[44522]","38","36","",,
"2","Fruit and vegetable markets","[44523]","39","36","",,
"2","Other specialty food stores","[44529]","40","36","",,
"2","Beer, wine and liquor stores","[44531]","42","41","",,
"2","Health and personal care stores","[4461]","44","43","",,
"2","Pharmacies and drug stores","[44611]","45","44","",,
"2","Cosmetics, beauty supplies and perfume stores","[44612]","46","44","",,
"2","Optical goods stores","[44613]","47","44","",,
"2","Other health and personal care stores","[44619]","48","44","",,
"2","Gasoline stations","[4471]","50","49","",,
"2","Gasoline stations with convenience stores","[44711]","51","50","",,
"2","Other gasoline stations","[44719]","52","50","",,
"2","Clothing stores","[4481]","54","53","",,
"2","Shoe stores","[4482]","61","53","",,
"2","Jewellery, luggage and leather goods stores","[4483]","63","53","",,
"2","Men's clothing stores","[44811]","55","54","",,
"2","Women's clothing stores","[44812]","56","54","",,
"2","Children's and infants' clothing stores","[44813]","57","54","",,
"2","Family clothing stores","[44814]","58","54","",,
"2","Clothing accessories stores","[44815]","59","54","",,
"2","Other clothing stores","[44819]","60","54","",,
"2","Shoe stores","[44821]","62","61","",,
"2","Jewellery stores","[44831]","64","63","",,
"2","Luggage and leather goods stores","[44832]","65","63","",,
"2","Book stores and news dealers","[4513]","72","66","",,
"2","Sporting goods, hobby and musical instrument stores","[4511]","67","66","",,
"2","Sewing, needlework and piece goods stores","[45113]","70","67","",,
"2","Musical instrument and supplies stores","[45114]","71","67","",,
"2","Sporting goods stores","[45111]","68","67","",,
"2","Hobby, toy and game stores","[45112]","69","67","",,
"2","Book stores and news dealers","[45131]","73","72","",,
"2","Department stores","[4521]","76","75","",,
"2","Other general merchandise stores","[4529]","78","75","",,
"2","Department stores","[45211]","77","76","",,
"2","Warehouse clubs","[45291]","79","78","",,
"2","All other general merchandise stores","[45299]","80","78","",,
"2","Florists","[4531]","82","81","",,
"2","Office supplies, stationery and gift stores","[4532]","84","81","",,
"2","Used merchandise stores","[4533]","87","81","",,
"2","Other miscellaneous store retailers","[4539]","89","81","",,
"2","Florists","[45311]","83","82","",,
"2","Gift, novelty and souvenir stores","[45322]","86","84","",,
"2","Office supplies and stationery stores","[45321]","85","84","",,
"2","Used merchandise stores","[45331]","88","87","",,
"2","Pet and pet supplies stores","[45391]","90","89","",,
"2","Art dealers","[45392]","91","89","",,
"2","Mobile home dealers","[45393]","92","89","",,
"2","All other miscellaneous store retailers","[45399]","93","89","",,
"2","New car dealers","[44111]","95","94","",,
"2","Recreational vehicle dealers","[44121]","97","96","",,
"2","Motorcycle, boat and other motor vehicle dealers","[44122]","98","96","",,
"2","Retail trade","[44-45]","1","","",,

Symbol Legend
Description,Symbol
"not available for a specific reference period","..",
"less than the limit of detection","<LOD",
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded","0s",
"data quality: excellent","A",
"data quality: very good","B",
"data quality: good","C",
"data quality: acceptable","D",
"use with caution","E",
"too unreliable to be published","F",
"not applicable","...",
"preliminary","p",
"revised","r",
"suppressed to meet the confidentiality requirements of the Statistics Act","x",
"terminated","t",

"Survey Code","Survey Name"
"5135","Retail Services Price Index"

"Subject Code","Subject Name"
"18","Prices and price indexes"

"Note ID",Note
1,"This is a monthly price index published quarterly. Quarterly indexes as published in The Daily are available in table 18-10-0252 (formerly CANSIM 332-0025)."
2,"North American Industry Classification System (NAICS) code 44112 has not been surveyed, and therefore data are not available at this time."
3,"Data-quality indicators are based on measures of survey precision (standard errors of the estimated figures), estimates of market coverage (based on the RSPI sample), and the number of reported price quotes. Quality indicators: Code D = Acceptable (market coverage equal to or greater than 25%, and standard error greater than 2%, but less than or equal to 5%). Code E = Use with caution (market coverage less than 25% or standard error greater than 5% or fewer than five reported price quotes). Index series without data-quality indicators are considered to be statistically reliable."
